Words,Word Frequency,Part of Speech
11,3,CD
located,6,VBN
western,1,JJ
avenue,3,NN
1976,1,CD
this,26,DT
cafe,6,NN
later,5,RB
moved,3,VBD
1912,1,CD
12,3,CD
time,15,NN
roasted,2,VBN
did,8,VBD
not,23,RB
yet,2,RB
brew,6,VB
13,2,CD
year,12,NN
operation,1,NN
purchased,7,VBD
green,10,JJ
14,4,CD
buying,1,NN
growers,2,NNS
citation,5,NN
needed,5,VBN
sale,5,NN
1984,1,CD
original,6,JJ
owners,2,NNS
15,2,CD
total,1,JJ
falling,1,VBG
but,17,CC
specialty,2,NN
increased,2,VBD
comprising,1,NN
1989,2,CD
compared,2,VBN
3,6,CD
1983,1,CD
16,4,CD
operated,7,VBN
had,18,VBD
just,1,RB
begun,1,VBN
17,1,CD
1987,4,CD
former,3,JJ
manager,1,NN
rebranded,1,VBD
il,1,JJ
giornale,1,JJ
outlets,5,NNS
quickly,2,RB
expand,3,VBP
18,5,CD
same,4,JJ
outside,4,JJ
waterfront,1,NN
station,1,NN
vancouver,1,IN
illinois,1,$
19,8,CD
46,3,CD
existed,1,VBD
northwest,2,RB
2,13,CD
pounds,5,NNS
907,1,CD
185,2,CD
kg,2,NNS
annually,1,RB
public,2,JJ
offering,5,NN
ipo,1,NN
stock,1,NN
june,17,NN
1992,4,CD
140,2,CD
revenue,2,NN
us,27,PRP
73,2,CD
million,22,CD
up,9,RB
1,15,CD
271,2,CD
portion,3,NN
raised,3,VBD
25,3,CD
which,22,WDT
enabled,1,VBD
double,2,JJ
number,3,NN
next,7,JJ
two,7,CD
20,3,CD
september,13,JJ
price,4,NN
risen,1,VBD
100,9,CD
times,3,NNS
per,11,IN
previous,2,JJ
july,16,NN
2013,12,CD
purchases,4,NNS
customer,3,NN
mobile,10,NN
devices,1,NNS
using,10,VBG
app,9,JJ
21,6,CD
once,1,RB
again,2,RB
utilized,1,JJ
platform,2,NN
when,6,WRB
launched,6,VBN
tweet,2,NN
promotion,3,NN
october,11,IN
occasion,1,NN
involved,1,VBN
twitter,1,NN
customers,14,NNS
able,3,JJ
purchase,5,NN
gift,2,NN
card,9,NN
friend,2,NN
entering,1,VBG
both,8,DT
tweetacoffee,1,NN
handle,2,VBP
research,1,NN
keyhole,1,NN
monitored,1,VBD
progress,1,NN
campaign,1,NN
december,7,NN
media,3,NNS
article,4,NN
reported,6,VBD
27,3,CD
people,8,NNS
participated,1,VBD
180,3,CD
been,16,VBN
date,1,NN
22,1,CD
23,2,CD
2018,18,CD
ranked,2,VBD
132nd,1,CD
fortune,1,NN
500,3,CD
corporations,2,NNS
24,1,CD
fiscal,2,JJ
quarter,2,NN
net,1,JJ
income,1,NN
37,3,CD
852,1,CD
61,3,CD
cents,3,NNS
earlier,1,RB
110,2,CD
41,4,CD
mid,3,NN
recorded,1,VBD
78,3,CD
much,2,JJ
forecast,1,NN
72,2,CD
new,27,JJ
markets,5,NNS
north,4,RB
america,8,VBP
tokyo,1,RB
japan,3,JJ
1996,1,CD
4,5,CD
1997,2,CD
philippines,2,NNS
became,2,VBD
open,20,JJ
branch,1,NN
6750,1,CD
ayala,1,NN
building,2,VBG
makati,1,NNS
city,11,NN
28,1,CD
29,2,CD
entered,7,VBD
k,5,NN
1998,2,CD
83,2,CD
acquisition,2,NN
56,2,CD
outlet,3,NN
uk,5,JJ
re,3,NN
branding,1,VBG
all,21,DT
1999,5,CD
experimented,1,VBD
eateries,1,NNS
bay,5,VBP
area,7,NN
restaurant,1,NN
called,10,VBN
